,cz,Name,AllParentIncomeAmericanIndian,AllParentIncomeAllRaces,AllParentIncomeAsian,AllParentIncomeWhite,AllParentIncomeHispanic,Individual_Income_Excluding_Spouse_at_Age_35_rB_gP_pall
275,cz12901,"Lexington-Fayette, KY",21479.0,27164,40494.0,28428,27975.0,21448.0
276,cz22100,"Iowa City, IA",21442.0,33992,39638.0,34887,29931.0,27944.0
277,cz35402,"Cortez, CO & UT",21436.0,27236,,28943,26400.0,
278,cz29204,"Topeka, KS",21399.0,30792,35655.0,32351,27990.0,22587.0
279,cz3003,"Jackson, MS",21395.0,25956,37995.0,31660,24795.0,21682.0
280,cz4901,"Jackson, TN",21393.0,25786,38400.0,28686,22731.0,21018.0
281,cz13000,"Elizabethtown, KY",21391.0,27456,31360.0,28039,26702.0,25612.0
282,cz6900,"Sarasota, FL",21389.0,27645,36760.0,29479,26065.0,20087.0
283,cz34403,"Helena, MT",21349.0,31681,31680.0,32545,27252.0,
284,cz5202,"Memphis, MS & TN",21347.0,25313,37156.0,31099,25825.0,20799.0
285,cz12701,"Cincinnati, KY & OH",21340.0,30772,40456.0,32568,28920.0,21550.0
286,cz8300,"Greenville, SC",21328.0,26485,34183.0,27949,26224.0,23148.0
287,cz6800,"Lakeland, FL",21300.0,25276,35863.0,27596,24955.0,19708.0
288,cz35801,"Boise City, ID",21219.0,28129,32458.0,28992,25092.0,25740.0
289,cz24400,"Rockford, IL",21187.0,30805,34692.0,32447,27831.0,19698.0
290,cz29201,"Hiawatha, KS",21175.0,34971,,36036,24495.0,25953.0
291,cz900,"Charlotte, NC & SC",21161.0,28020,33878.0,31182,26310.0,22149.0
292,cz26411,"Sidney, MT & ND",21128.0,37707,,39391,27836.0,
293,cz7600,"Jacksonville, FL & GA",21108.0,26600,33966.0,29020,27416.0,21406.0
294,cz29601,"Columbia, MO",21091.0,30372,36602.0,31572,24251.0,21883.0
295,cz35201,"Grand Junction, CO",21083.0,29198,35005.0,30259,26042.0,24723.0
296,cz10200,"Albany, GA",21075.0,23147,33549.0,28383,22672.0,19382.0
297,cz11201,"Bluefield, VA & WV",20987.0,26117,42292.0,26685,26587.0,19625.0
298,cz31800,"College Station, TX",20949.0,28824,41674.0,33535,26424.0,20948.0
299,cz24500,"Rolla, MO",20838.0,26049,35004.0,26457,26265.0,25641.0
300,cz39203,"Bend, OR",20835.0,28606,30105.0,29689,25314.0,19580.0
301,cz12001,"Big Rapids, MI",20771.0,27361,37509.0,27979,20212.0,23971.0
302,cz37300,"Chico, CA",20756.0,27368,32533.0,28764,26210.0,22846.0
303,cz39303,"Port Angeles, WA",20674.0,28642,28517.0,29685,26036.0,27466.0
304,cz10000,"Panama City, FL",20672.0,25043,29936.0,26255,27570.0,20293.0
305,cz15300,"Parkersburg, OH & WV",20659.0,27971,40021.0,28365,26859.0,25613.0
306,cz36000,"Provo, UT",20628.0,28496,32287.0,28968,26639.0,29771.0
307,cz22602,"Shawano, WI",20624.0,30601,31724.0,31900,23913.0,18561.0
308,cz27101,"Willmar, MN",20579.0,35121,34592.0,36055,23142.0,20213.0
309,cz18800,"Scranton, PA",20541.0,32457,39238.0,33255,27435.0,24418.0
310,cz21301,"Mankato, MN",20540.0,35783,39250.0,36462,26984.0,27102.0
311,cz31303,"Kerrville, TX",20528.0,28687,31023.0,32441,24332.0,23605.0
312,cz6700,"Tampa, FL",20525.0,27098,34993.0,29070,27560.0,20542.0
313,cz39100,"Kennewick, OR & WA",20506.0,29663,36569.0,31183,27236.0,24966.0
314,cz16000,"Mansfield, OH",20504.0,28427,39483.0,29191,26385.0,20168.0
315,cz10302,"Dothan, AL",20492.0,25493,31154.0,28195,27110.0,19761.0
316,cz7500,"Deltona, FL",20430.0,25680,34100.0,27445,25479.0,19166.0
317,cz1900,"Jacksonville, NC",20398.0,25730,32825.0,28833,25685.0,20915.0
