"cz","Name","Individual_Income_Excluding_Spouse_at_Age_35"
"cz14000","Muncie, IN",26707
"cz4200","Little Rock, AR",26681
"cz1203","Asheville, NC",26647
"cz16701","Elkins, WV",26643
"cz8800","Savannah, GA & SC",26641
"cz36902","Roseburg, OR",26624
"cz3600","Alexandria, LA",26617
"cz7600","Jacksonville, FL & GA",26600
"cz30601","El Paso, NM & TX",26599
"cz5700","Tullahoma, TN",26595
"cz7900","Gainesville, FL",26593
"cz500","Greensboro, NC & VA",26561
"cz30901","Clovis, NM & TX",26543
"cz9800","Auburn, AL",26533
"cz34101","Sand Point, AK",26508
"cz8300","Greenville, SC",26485
"cz35802","Ontario, ID & OR",26461
"cz8401","Aiken, GA & SC",26450
"cz32202","Nacogdoches, TX",26413
"cz5500","Columbia, TN",26410
"cz33901","Ada, OK",26400
"cz16801","Beckley, WV",26388
"cz11001","Mobile, AL",26385
"cz30702","Santa Rosa, NM",26347
"cz31503","Laredo, TX",26328
"cz34309","Harlowton, MT",26297
"cz33200","Paris, TX",26273
"cz2200","South Boston, VA",26257
"cz4002","Shreveport, LA",26235
"cz29700","Springfield, MO",26221
"cz33500","Texarkana, AR & TX",26188
"cz11201","Bluefield, VA & WV",26117
"cz16802","Summersville, WV",26087
"cz4103","El Dorado, AR",26075
"cz24500","Rolla, MO",26049
"cz29602","Eldon, MO",26047
"cz25300","Union City, KY & TN",26025
"cz3202","Natchez, LA & MS",26023
"cz700","Spartanburg, NC & SC",26022
"cz19903","Chincoteague, VA",26022
"cz11002","Atmore, AL",26021
"cz2100","Washington, NC",25993
"cz9900","Tallahassee, FL",25977
"cz10900","Pensacola, FL",25972
"cz30602","Alamogordo, NM",25966
"cz3003","Jackson, MS",25956
"cz12502","Washington Court House, OH",25932
"cz5401","Bowling Green, KY",25930
"cz6200","Florence, AL & TN",25880
"cz29902","Center, MO",25880
"cz37200","Fresno, CA",25868
"cz6401","Chattanooga, GA & TN",25819
"cz1100","Hickory, NC",25798
"cz4901","Jackson, TN",25786
"cz1600","Wilson, NC",25737
"cz1900","Jacksonville, NC",25730
"cz12600","Wayne, IN",25730
"cz9400","Gainesville, GA",25729
"cz11102","Troy, AL",25722
"cz8900","Macon, GA",25703
"cz7500","Deltona, FL",25680
"cz5800","Dickson, TN",25638
"cz4301","Stuttgart, AR",25635
"cz5900","Clarksville, KY & TN",25628
"cz2700","Gulfport, MS",25628
